Episode,Avg Reward,Steps,Total Reward
288,-0.9930555555555556,53,-286
289,-0.9930795847750865,48,-287
290,-0.993103448275862,3,-288
291,-0.993127147766323,1,-289
292,-0.9931506849315068,20,-290
293,-0.9931740614334471,8,-291
294,-0.9931972789115646,7,-292
295,-0.9932203389830508,1,-293
296,-0.9932432432432432,35,-294
297,-0.9932659932659933,35,-295
298,-0.9932885906040269,26,-296
299,-0.9933110367892977,32,-297
300,-0.9933333333333333,10,-298
301,-0.9933554817275747,2,-299
302,-0.9933774834437086,5,-300
303,-0.9933993399339934,8,-301
304,-0.993421052631579,3,-302
305,-0.9934426229508196,1,-303
306,-0.9934640522875817,80,-304
307,-0.993485342019544,12,-305
308,-0.9935064935064936,49,-306
309,-0.9935275080906149,21,-307
310,-0.9903225806451613,100,-307
311,-0.9903536977491961,1,-308
312,-0.9903846153846154,48,-309
313,-0.9904153354632588,34,-310
314,-0.9904458598726115,1,-311
315,-0.9904761904761905,23,-312
316,-0.990506329113924,51,-313
317,-0.9905362776025236,26,-314
318,-0.9905660377358491,62,-315
319,-0.9905956112852664,19,-316
320,-0.990625,39,-317
321,-0.9906542056074766,37,-318
322,-0.9906832298136646,36,-319
323,-0.9907120743034056,5,-320
324,-0.9907407407407407,79,-321
325,-0.9907692307692307,6,-322
326,-0.99079754601227,5,-323
327,-0.9908256880733946,12,-324
328,-0.9908536585365854,11,-325
329,-0.9908814589665653,22,-326
330,-0.990909090909091,4,-327
331,-0.9909365558912386,7,-328
332,-0.9909638554216867,13,-329
333,-0.990990990990991,2,-330
334,-0.9910179640718563,17,-331
335,-0.991044776119403,7,-332
336,-0.9910714285714286,13,-333
337,-0.9910979228486647,30,-334
338,-0.9911242603550295,23,-335
339,-0.9911504424778761,9,-336
340,-0.9911764705882353,21,-337
341,-0.9912023460410557,2,-338
342,-0.9912280701754386,74,-339
343,-0.9912536443148688,4,-340
344,-0.9912790697674418,23,-341
345,-0.991304347826087,1,-342
346,-0.9913294797687862,34,-343
347,-0.9913544668587896,10,-344
348,-0.9913793103448276,8,-345
349,-0.9914040114613181,18,-346
350,-0.9914285714285714,2,-347
351,-0.9914529914529915,46,-348
352,-0.9914772727272727,10,-349
353,-0.9915014164305949,46,-350
354,-0.9915254237288136,19,-351
355,-0.9915492957746479,1,-352
356,-0.9915730337078652,31,-353
357,-0.9915966386554622,61,-354
358,-0.9916201117318436,3,-355
359,-0.9916434540389972,3,-356
360,-0.9916666666666667,97,-357
361,-0.9916897506925207,40,-358
362,-0.9917127071823204,10,-359
363,-0.9917355371900827,3,-360
364,-0.9917582417582418,18,-361
365,-0.9917808219178083,7,-362
366,-0.9918032786885246,11,-363
367,-0.9918256130790191,56,-364
368,-0.9918478260869565,5,-365
369,-0.991869918699187,25,-366
370,-0.9918918918918919,2,-367
371,-0.9919137466307277,16,-368
372,-0.9919354838709677,3,-369
373,-0.9919571045576407,60,-370
374,-0.9919786096256684,26,-371
375,-0.992,10,-372
376,-0.9920212765957447,33,-373
377,-0.9920424403183024,51,-374
378,-0.9920634920634921,24,-375
379,-0.9920844327176781,27,-376
380,-0.9921052631578947,5,-377
381,-0.9921259842519685,34,-378
382,-0.9921465968586387,17,-379
383,-0.9895561357702349,100,-379
384,-0.9895833333333334,53,-380
385,-0.9896103896103896,32,-381
386,-0.9896373056994818,11,-382
387,-0.9896640826873385,35,-383
388,-0.9896907216494846,24,-384
389,-0.9897172236503856,46,-385
390,-0.9897435897435898,24,-386
391,-0.989769820971867,1,-387
392,-0.9897959183673469,21,-388
393,-0.989821882951654,51,-389
394,-0.9898477157360406,20,-390
395,-0.9898734177215189,17,-391
396,-0.98989898989899,60,-392
397,-0.9899244332493703,48,-393
398,-0.9899497487437185,1,-394
399,-0.9899749373433584,50,-395
400,-0.99,57,-396
401,-0.9900249376558603,3,-397
402,-0.9900497512437811,24,-398
403,-0.9900744416873449,35,-399
404,-0.9900990099009901,47,-400
405,-0.9901234567901235,13,-401
406,-0.9901477832512315,3,-402
407,-0.9901719901719902,44,-403
408,-0.9901960784313726,32,-404
409,-0.9902200488997555,45,-405
410,-0.9902439024390244,3,-406
411,-0.9902676399026764,42,-407
412,-0.9902912621359223,1,-408
413,-0.9903147699757869,9,-409
414,-0.9903381642512077,9,-410
415,-0.9903614457831326,100,-411
416,-0.9903846153846154,15,-412
417,-0.9904076738609112,58,-413
418,-0.9904306220095693,1,-414
419,-0.9904534606205251,45,-415
420,-0.9904761904761905,87,-416
421,-0.9904988123515439,17,-417
422,-0.990521327014218,16,-418
423,-0.9905437352245863,11,-419
424,-0.9905660377358491,2,-420
425,-0.9905882352941177,14,-421
426,-0.9906103286384976,25,-422
427,-0.990632318501171,40,-423
428,-0.9906542056074766,11,-424
429,-0.9906759906759907,49,-425
430,-0.9906976744186047,11,-426
431,-0.9907192575406032,65,-427
432,-0.9907407407407407,57,-428
433,-0.9907621247113164,81,-429
434,-0.9907834101382489,49,-430
435,-0.9908045977011494,1,-431
436,-0.9908256880733946,68,-432
437,-0.9908466819221968,11,-433
438,-0.9885844748858448,100,-433
439,-0.9886104783599089,39,-434
440,-0.9886363636363636,23,-435
441,-0.9886621315192744,17,-436
442,-0.9886877828054299,90,-437
443,-0.9887133182844243,31,-438
444,-0.9864864864864865,100,-438
445,-0.9842696629213483,100,-438
446,-0.984304932735426,20,-439
447,-0.9843400447427293,14,-440
448,-0.984375,2,-441
449,-0.9821826280623608,100,-441
450,-0.9822222222222222,3,-442
451,-0.9822616407982262,1,-443
452,-0.9823008849557522,29,-444
453,-0.9823399558498896,18,-445
454,-0.9823788546255506,22,-446
455,-0.9824175824175824,23,-447
456,-0.9824561403508771,58,-448
457,-0.9803063457330415,100,-448
458,-0.980349344978166,96,-449
459,-0.9803921568627451,3,-450
460,-0.9804347826086957,83,-451
461,-0.9804772234273319,19,-452
462,-0.9805194805194806,16,-453
463,-0.980561555075594,69,-454
464,-0.9806034482758621,91,-455
465,-0.9806451612903225,73,-456
466,-0.9785407725321889,100,-456
467,-0.9785867237687366,92,-457
468,-0.9786324786324786,20,-458
469,-0.9786780383795309,25,-459
470,-0.9787234042553191,87,-460
471,-0.9787685774946921,46,-461
472,-0.9788135593220338,90,-462
473,-0.9788583509513742,22,-463
474,-0.9789029535864979,56,-464
475,-0.9789473684210527,22,-465
476,-0.9789915966386554,33,-466
477,-0.9790356394129979,25,-467
478,-0.9769874476987448,100,-467
479,-0.9770354906054279,26,-468
480,-0.975,100,-468
481,-0.972972972972973,100,-468
482,-0.9730290456431535,10,-469
483,-0.9730848861283644,88,-470
484,-0.9731404958677686,78,-471
485,-0.9711340206185567,100,-471
486,-0.9711934156378601,51,-472
487,-0.971252566735113,48,-473
488,-0.9713114754098361,27,-474
489,-0.9713701431492843,46,-475
490,-0.9693877551020408,100,-475
491,-0.9694501018329938,9,-476
492,-0.9695121951219512,34,-477
493,-0.9695740365111561,51,-478
494,-0.9696356275303644,58,-479
495,-0.9696969696969697,17,-480
496,-0.969758064516129,7,-481
497,-0.9698189134808853,41,-482
498,-0.9698795180722891,46,-483
499,-0.969939879759519,46,-484
500,-0.97,46,-485
501,-0.9700598802395209,25,-486
502,-0.9701195219123506,87,-487
503,-0.9701789264413518,1,-488
504,-0.9702380952380952,26,-489
505,-0.9683168316831683,100,-489
506,-0.9683794466403162,1,-490
507,-0.9684418145956607,53,-491
508,-0.968503937007874,86,-492
509,-0.9666011787819253,100,-492
510,-0.9666666666666667,70,-493
511,-0.9667318982387475,74,-494
512,-0.96484375,100,-494
513,-0.9629629629629629,100,-494
514,-0.9610894941634242,100,-494
515,-0.9611650485436893,17,-495
516,-0.9612403100775194,12,-496
517,-0.9613152804642167,59,-497
518,-0.9594594594594594,100,-497
519,-0.9576107899807321,100,-497
520,-0.9576923076923077,43,-498
521,-0.9577735124760077,94,-499
522,-0.9578544061302682,17,-500
523,-0.9579349904397706,27,-501
524,-0.9580152671755725,25,-502
525,-0.9561904761904761,100,-502
526,-0.9543726235741445,100,-502
527,-0.9544592030360531,36,-503
528,-0.9545454545454546,66,-504
529,-0.9546313799621928,60,-505
530,-0.9547169811320755,44,-506
531,-0.9529190207156308,100,-506
532,-0.9530075187969925,29,-507
533,-0.9530956848030019,11,-508
534,-0.9531835205992509,4,-509
535,-0.9514018691588785,100,-509
536,-0.9496268656716418,100,-509
537,-0.9478584729981379,100,-509
538,-0.9460966542750929,100,-509
539,-0.9443413729128015,100,-509
540,-0.9444444444444444,1,-510
541,-0.9426987060998152,100,-510
542,-0.9428044280442804,91,-511
543,-0.9410681399631676,100,-511
544,-0.9411764705882353,75,-512
545,-0.9412844036697248,38,-513
546,-0.9413919413919414,82,-514
547,-0.9414990859232175,67,-515
548,-0.9397810218978102,100,-515
549,-0.9398907103825137,73,-516
550,-0.9381818181818182,100,-516
551,-0.9364791288566243,100,-516
552,-0.9365942028985508,46,-517
553,-0.9349005424954792,100,-517
554,-0.9350180505415162,35,-518
555,-0.9351351351351351,36,-519
556,-0.935251798561151,1,-520
557,-0.9353680430879713,51,-521
558,-0.9336917562724014,100,-521
559,-0.9320214669051878,100,-521
560,-0.9321428571428572,6,-522
561,-0.93048128342246,100,-522
562,-0.9306049822064056,54,-523
563,-0.9289520426287744,100,-523
564,-0.9290780141843972,81,-524
565,-0.9292035398230089,67,-525
566,-0.9275618374558304,100,-525
