Episode,Avg Reward,Steps,Total Reward
277,-0.9422382671480144,22,-261
278,-0.9424460431654677,46,-262
279,-0.942652329749104,21,-263
280,-0.9428571428571428,37,-264
281,-0.9430604982206405,68,-265
282,-0.9432624113475178,17,-266
283,-0.9434628975265018,3,-267
284,-0.9436619718309859,19,-268
285,-0.9438596491228071,33,-269
286,-0.9440559440559441,91,-270
287,-0.9442508710801394,91,-271
288,-0.9444444444444444,62,-272
289,-0.9446366782006921,29,-273
290,-0.9448275862068966,59,-274
291,-0.9450171821305842,41,-275
292,-0.9452054794520548,30,-276
293,-0.9453924914675768,7,-277
294,-0.9455782312925171,1,-278
295,-0.9457627118644067,62,-279
296,-0.9459459459459459,73,-280
297,-0.9427609427609428,100,-280
298,-0.9429530201342282,6,-281
299,-0.9431438127090301,72,-282
300,-0.9433333333333334,19,-283
301,-0.9435215946843853,1,-284
302,-0.9437086092715232,27,-285
303,-0.9438943894389439,1,-286
304,-0.944078947368421,68,-287
305,-0.9442622950819672,32,-288
306,-0.9444444444444444,36,-289
307,-0.9446254071661238,25,-290
308,-0.9448051948051948,56,-291
309,-0.9449838187702265,19,-292
310,-0.9451612903225807,3,-293
311,-0.9453376205787781,57,-294
312,-0.9455128205128205,72,-295
313,-0.9456869009584664,1,-296
314,-0.9426751592356688,100,-296
315,-0.9428571428571428,8,-297
316,-0.9430379746835443,61,-298
317,-0.943217665615142,35,-299
318,-0.9433962264150944,25,-300
319,-0.9435736677115988,6,-301
320,-0.94375,46,-302
321,-0.9439252336448598,33,-303
322,-0.9440993788819876,37,-304
323,-0.9442724458204335,45,-305
324,-0.9444444444444444,3,-306
325,-0.9446153846153846,35,-307
326,-0.941717791411043,100,-307
327,-0.9418960244648318,10,-308
328,-0.9420731707317073,37,-309
329,-0.9422492401215805,22,-310
330,-0.9424242424242424,65,-311
331,-0.9425981873111783,7,-312
332,-0.9427710843373494,53,-313
333,-0.9429429429429429,16,-314
334,-0.9431137724550899,6,-315
335,-0.9432835820895522,15,-316
336,-0.9404761904761905,100,-316
337,-0.9406528189910979,16,-317
338,-0.9408284023668639,13,-318
339,-0.9380530973451328,100,-318
340,-0.9382352941176471,33,-319
341,-0.9384164222873901,45,-320
342,-0.9385964912280702,25,-321
343,-0.9387755102040817,10,-322
344,-0.938953488372093,17,-323
345,-0.9391304347826087,7,-324
346,-0.9335260115606936,30,-323
347,-0.9337175792507204,29,-324
348,-0.9339080459770115,1,-325
349,-0.9340974212034384,42,-326
350,-0.9342857142857143,18,-327
351,-0.9344729344729344,22,-328
352,-0.9346590909090909,19,-329
